pps,unique_ips,syn_ratio,suspicious,label
1127,29,0.1834347898661638,0.3354608739196983,1
1096,21,0.15601864044243652,0.31281118426546195,1
467,23,0.05808361216819946,0.12825016730091968,0
88,36,0.14286681792194078,0.10332009075316446,0
131,22,0.056411579027100256,0.060046947416260155,0
344,44,0.9385527090157502,0.63193162540945,0
386,21,0.6174815096277165,0.4476889057766299,0
1338,22,0.007066305219717406,0.27183978313183044,1
857,49,0.5247746602583891,0.4862647961550335,1
511,42,0.04666566321361543,0.13019939792816926,0
700,16,0.23277134043030423,0.2796628042581825,0
958,47,0.6183860093330873,0.5626316055998524,1
1900,3,0.8599404067363206,0.8959642440417923,2
647,21,0.450499251969543,0.3996995511817258,0
1298,4,0.9422017556848528,0.8249210534109117,2
14,9,0.015966252220214194,0.012379751332128517,0
898,20,0.24102546602601171,0.32421527961560703,1
956,7,0.6099966577826209,0.5571979946695725,1
776,47,0.17336465350777208,0.25921879210466325,0
1105,36,0.18223608778806233,0.3303416526728374,1
1412,2,0.4251558744912447,0.5374935246947468,1
566,42,0.5677003278199915,0.4538201966919949,0
1501,18,0.7751328233611146,0.7652796940166687,2
162,10,0.8948273504276488,0.5692964102565893,0
270,31,0.9218742350231168,0.6071245410138701,0
456,14,0.1959828624191452,0.2087897174514871,0
1017,40,0.8445338486781514,0.7101203092068908,2
1773,18,0.5396921323890798,0.6784152794334479,2
792,26,0.965255307264138,0.7375531843584827,2
188,45,0.14092422497476265,0.1221545349848576,0
15,45,0.07455064367977082,0.0477303862078625,0
1863,9,0.7722447692966574,0.8359468615779945,2
648,24,0.014079822715084456,0.1380478936290507,0
1523,17,0.71134195274865,0.73140517164919,2
419,33,0.6059599747810114,0.4473759848686068,0
1514,39,0.6510770255019445,0.6934462153011667,2
1052,7,0.8500385777897993,0.7204231466738796,2
780,34,0.09541011649041131,0.21324606989424683,0
503,23,0.6688412526636073,0.5019047515981644,0
805,35,0.5912977877077271,0.5157786726246363,1
726,27,0.5612434258477011,0.4819460555086207,0
1763,37,0.9717120953891037,0.9356272572334623,2
643,1,0.7217295211648732,0.5616377126989239,0
503,14,0.49379559636439074,0.3968773578186345,0
393,15,0.42754101835854963,0.33512461101512975,0
1578,13,0.2017192023353962,0.43663152140123773,2
864,39,0.47537022318211175,0.45802213390926705,1
1021,32,0.6955160864261275,0.6215096518556764,1
485,23,0.6044173792778172,0.4596504275666904,0
1679,43,0.2030612247347694,0.45763673484086165,2
525,32,0.598865466488536,0.4643192798931216,0
1267,22,0.8804678390152577,0.7816807034091546,2
682,45,0.295633685837714,0.3137802115026284,0
1013,6,0.45653457048291024,0.4765207422897461,1
1644,44,0.4165099478703662,0.5787059687222197,2
1982,11,0.32434502100527396,0.5910070126031644,2
1372,25,0.3180034749718639,0.4652020849831183,1
1249,1,0.22793516254194168,0.386561097525165,1
1982,13,0.8607305832563434,0.912838349953806,2
1383,6,0.5107473025775657,0.5830483815465395,1
649,37,0.6924360328902703,0.5452616197341622,0
1258,44,0.24412552224777417,0.39807531334866453,1
1851,32,0.5187906217433661,0.6814743730460197,2
1257,49,0.06489224710898156,0.2903353482653889,1
442,12,0.25178229582536416,0.2394693774952185,0
1410,3,0.30087830981676966,0.4625269858900618,1
1649,17,0.266781014275285,0.489868608565171,2
2,2,0.4110370133182313,0.24702220799093877,0
855,37,0.345071248026683,0.3780427488160098,1
385,19,0.6807054515547668,0.4854232709328601,0
1077,44,0.44778316457309164,0.484069898743855,1
1734,32,0.5926967238793935,0.702418034327636,2
1463,11,0.36965445606140446,0.5143926736368427,1
401,38,0.3677831327192532,0.30086987963155193,0
884,34,0.6335297107608947,0.5569178264565369,1
1931,48,0.7983451249845511,0.8652070749907307,2
1225,6,0.6958128067908819,0.6624876840745292,1
1795,20,0.32595890520188475,0.5545753431211309,2
1956,19,0.7111495324380178,0.8178897194628107,2
1535,19,0.3486659872917294,0.5161995923750377,2
1735,41,0.690937738102466,0.7615626428614796,2
1664,39,0.9367299887367345,0.8948379932420407,2
641,11,0.3410663510502585,0.3328398106301551,0
473,23,0.5414479738275658,0.4194687842965395,0
1322,35,0.22855002179729966,0.4015300130783798,1
144,26,0.9821683433294356,0.6181010059976614,0
1596,49,0.24185229090045168,0.46431137454027105,2
1328,12,0.5582934536070976,0.6005760721642586,1
1184,9,0.2788713525921819,0.40412281155530916,1
1683,48,0.8466611422383059,0.8445966853429835,2
404,24,0.4045081271221901,0.32350487627331403,0
1697,24,0.8509284487675127,0.8499570692605076,2
1649,8,0.7853406511139436,0.8010043906683662,2
104,20,0.5806866214364547,0.3692119728618728,0
1136,25,0.6635017691080558,0.6253010614648334,1
1885,18,0.16080805141749865,0.4734848308504992,2
338,2,0.6918951976926933,0.4827371186156159,0
1744,41,0.17592525267734538,0.4543551516064072,2
1604,33,0.4938937151834346,0.6171362291100608,2
816,20,0.3664687845828599,0.383081270749716,1
1416,7,0.7209399242521293,0.7157639545512775,2
640,33,0.5425402305548993,0.4535241383329396,0
955,22,0.26520236768172545,0.3501214206090353,1
750,30,0.9730105547524456,0.7338063328514673,2
1389,8,0.6311386259972629,0.6564831755983578,1
226,21,0.5026370931051921,0.3467822558631153,0
284,47,0.4925176938188639,0.3523106162913183,0
453,48,0.2807723624408558,0.25906341746451345,0
547,49,0.04360377175443375,0.13556226305266025,0
1196,28,0.46994451399094295,0.5211667083945658,1
1070,6,0.3701587002554444,0.4360952201532666,1
1769,37,0.9283185625877254,0.9107911375526352,2
497,46,0.9666548190436696,0.6793928914262017,0
1123,33,0.07534625600612821,0.2698077536036769,1
253,21,0.19091103115034602,0.1651466186902076,0
1185,3,0.1694927466860925,0.3386956480116555,1
1817,42,0.936154774160781,0.9250928644964687,2
570,3,0.570061170089365,0.45603670205361896,0
1816,32,0.6711435168240506,0.7658861100944303,2
1687,2,0.25416364906973876,0.48989818944184327,2
490,2,0.3225507642386005,0.2915304585431603,0
1128,33,0.13662133144202881,0.30757279886521727,1
246,48,0.5528199769079077,0.3808919861447447,0
1706,26,0.8101133946791808,0.8272680368075085,2
921,24,0.9132405525564713,0.7321443315338828,2
1530,7,0.5015162946871996,0.6069097768123197,2
685,20,0.6499639307777652,0.5269783584666591,0
512,46,0.795792669436101,0.5798756016616606,0
972,23,0.027616771873704704,0.21097006312422284,1
1378,2,0.43847412301808697,0.5386844738108522,1
1983,22,0.32815266747473193,0.5934916004848392,2
1722,22,0.5908332605690108,0.6988999563414064,2
1366,49,0.03734818874921442,0.2956089132495287,1
838,15,0.3601906414112629,0.38371438484675774,1
444,37,0.5222432600548044,0.4021459560328826,0
1077,44,0.9652518303907698,0.7945510982344619,2
1127,4,0.8420230750119814,0.7306138450071888,2
992,30,0.5406351216101065,0.5227810729660639,1
823,40,0.7260913337226615,0.6002548002335969,1
269,42,0.32295647294124596,0.2475738837647476,0
657,19,0.4389714207056361,0.3947828524233817,0
1975,26,0.02535074341545751,0.41021044604927454,2
117,23,0.42831447494010777,0.28038868496406466,0
1932,1,0.17329432007084578,0.4903765920425075,2
513,47,0.25024289816459533,0.2527457388987572,0
1662,48,0.18286599710730733,0.4421195982643844,2
1261,1,0.9548652806631941,0.8251191683979164,2
704,5,0.6117207462343522,0.5078324477406113,0
247,3,0.24773098950115746,0.19803859370069446,0
1680,37,0.12016464780564218,0.40809878868338534,2
1309,14,0.09179906581344188,0.31687943948806513,1
1071,49,0.3114133093912942,0.4010479856347765,1
958,5,0.4741738290873252,0.4761042974523951,1
218,26,0.49161587511683236,0.3385695250700994,0
551,36,0.17320186991001518,0.21412112194600913,0
